LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LandSlope,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,TotalSF,OverallQual_TotalSF,OverallQual_GrLivArea,OverallQual_TotRmsAbvGrd,GarageArea_YearBuilt,IsRemod,BltRemodDiff,MSSubClass_150,MSSubClass_160,MSSubClass_180,MSSubClass_190,MSSubClass_20,MSSubClass_30,MSSubClass_40,MSSubClass_45,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_None,MiscFeature_None,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,MoSold_10,MoSold_11,MoSold_12,MoSold_2,MoSold_3,MoSold_4,MoSold_5,MoSold_6,MoSold_7,MoSold_8,MoSold_9,YrSold_2007,YrSold_2008,YrSold_2009,YrSold_2010,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,SalePrice
70.0,11200,1,1,3,3,0,2,5,5,1965,1965,0,6,6,0.0,3,4,1,4,4,3,5,906.0,6,0.0,134.0,1040.0,0,1,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,6,0,3,1965.0,3,1.0,384.0,5,5,2,0,0,0,0,0,0,3,4,0,2080.0,10400.0,5200,25,754560.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,129500
85.0,11924,1,1,0,3,0,5,9,5,2005,2006,0,14,15,286.0,0,4,2,0,4,3,2,998.0,6,0.0,177.0,1175.0,0,1,1182,1142,0,2324,1.0,0.0,3,0,4,1,0,11,6,2,2,2005.0,0,3.0,736.0,5,5,2,147,21,0,0,0,0,3,4,0,3499.0,31491.0,20916,99,1475680.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,345000
71.0,12968,1,1,1,3,0,2,5,6,1962,1962,0,6,10,0.0,3,4,1,4,4,3,0,737.0,6,0.0,175.0,912.0,4,1,912,0,0,912,1.0,0.0,1,0,2,1,3,4,6,0,3,1962.0,3,1.0,352.0,5,5,2,140,0,0,0,176,0,3,4,0,1824.0,9120.0,4560,20,690624.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,144000
91.0,10652,1,1,0,3,0,2,7,5,2006,2007,0,12,13,306.0,2,4,2,2,4,0,6,0.0,6,0.0,1494.0,1494.0,0,1,1494,0,0,1494,0.0,0.0,2,0,3,1,2,7,6,1,2,2006.0,2,3.0,840.0,5,5,2,160,33,0,0,0,0,3,4,0,2988.0,20916.0,10458,49,1685040.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,279500
73.0,10920,1,1,0,3,0,2,6,5,1960,1960,0,8,8,212.0,3,4,1,4,4,3,1,733.0,6,0.0,520.0,1253.0,4,1,1253,0,0,1253,1.0,0.0,1,1,2,1,3,5,6,1,1,1960.0,2,1.0,352.0,5,5,2,0,213,176,0,0,0,3,1,0,2506.0,15036.0,7518,30,689920.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,157000
51.0,6120,1,1,3,3,0,1,7,8,1929,2001,0,13,14,0.0,3,4,0,4,4,3,6,0.0,6,0.0,832.0,832.0,0,1,854,0,0,854,0.0,0.0,1,0,2,1,3,5,6,0,3,1991.0,3,2.0,576.0,5,5,2,48,112,0,0,0,0,3,0,0,1686.0,11802.0,5978,35,1111104.0,1,72,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,132000
73.0,11241,1,1,0,3,0,2,6,7,1970,1970,0,13,14,180.0,3,4,1,4,4,3,0,578.0,6,0.0,426.0,1004.0,0,1,1004,0,0,1004,1.0,0.0,1,0,2,1,3,5,6,1,5,1970.0,0,2.0,480.0,5,5,2,0,0,0,0,0,0,3,4,700,2008.0,12048.0,6024,30,945600.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,149000
72.0,10791,1,1,3,3,0,2,4,5,1967,1967,0,8,8,0.0,3,4,3,3,2,4,4,0.0,4,0.0,0.0,0.0,4,1,1296,0,0,1296,0.0,0.0,2,0,2,2,3,6,6,0,3,1967.0,3,2.0,516.0,5,5,2,0,0,0,0,0,0,3,4,500,1296.0,5184.0,5184,24,1014972.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,90000
66.0,13695,1,1,3,3,0,2,5,5,2004,2004,0,12,13,0.0,3,4,2,4,4,3,2,646.0,6,0.0,468.0,1114.0,0,1,1114,0,0,1114,1.0,0.0,1,1,3,1,2,6,6,0,3,2004.0,3,2.0,576.0,5,5,2,0,102,0,0,0,0,3,4,0,2228.0,11140.0,5570,30,1154304.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,159000
70.0,7560,1,1,3,3,0,2,5,6,1958,1965,0,3,10,0.0,3,4,1,4,4,3,3,504.0,6,0.0,525.0,1029.0,4,1,1339,0,0,1339,0.0,0.0,1,0,3,1,3,6,2,0,3,1958.0,3,1.0,294.0,5,5,2,0,0,0,0,0,0,3,2,0,2368.0,11840.0,6695,30,575652.0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139000
101.0,14215,1,1,0,3,0,5,8,5,2005,2006,0,12,13,380.0,2,4,2,0,4,0,6,0.0,6,0.0,1158.0,1158.0,0,1,1158,1218,0,2376,0.0,0.0,3,1,4,1,2,9,6,1,2,2005.0,2,3.0,853.0,5,5,2,240,154,0,0,0,0,3,4,0,3534.0,28272.0,19008,72,1710265.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,325300
57.0,7449,1,0,3,0,0,1,7,7,1930,1950,0,13,14,0.0,3,4,2,4,4,3,6,0.0,6,0.0,637.0,637.0,0,1,1108,0,0,1108,0.0,0.0,1,0,3,1,2,6,6,1,2,1930.0,3,1.0,280.0,5,5,0,0,0,205,0,0,0,3,0,0,1745.0,12215.0,7756,42,540400.0,1,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,139400
75.0,9742,1,1,3,3,0,2,8,5,2002,2002,0,12,13,281.0,2,4,2,2,4,3,6,0.0,6,0.0,1777.0,1777.0,0,1,1795,0,0,1795,0.0,0.0,2,0,3,1,2,7,6,1,2,2002.0,2,2.0,534.0,5,5,2,171,159,0,0,0,0,3,4,0,3572.0,28576.0,14360,56,1069068.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,230000
44.0,4224,1,1,3,3,0,2,5,7,1976,1976,0,5,5,0.0,3,4,2,2,4,3,2,840.0,6,0.0,200.0,1040.0,4,1,1060,0,0,1060,1.0,0.0,1,0,3,1,3,6,6,1,5,1976.0,3,2.0,572.0,5,5,2,100,110,0,0,0,0,3,4,0,2100.0,10500.0,5300,30,1130272.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,129900
71.0,8246,1,1,0,3,0,2,5,8,1968,2001,0,9,10,0.0,3,2,1,4,4,2,5,188.0,0,668.0,204.0,1060.0,0,1,1060,0,0,1060,1.0,0.0,1,0,3,1,2,6,6,1,5,1968.0,3,1.0,270.0,5,5,2,406,90,0,0,0,0,3,2,0,2120.0,10600.0,5300,30,531360.0,1,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,154000
